,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO
55,12,0,1,4,0,0,6,0
56,9,0,0,1,0,0,5,0
57,10,0,1,3,0,0,0,0
58,12,0,1,0,0,0,6,0
59,9,1,0,0,0,0,7,0
60,12,0,2,0,0,0,1,2
61,12,2,0,3,0,1,0,0
62,9,3,0,0,0,0,1,1
63,11,1,0,0,1,0,2,0
64,12,0,0,1,1,1,0,1
65,12,2,0,0,0,1,3,0
66,9,3,0,1,0,0,0,0
67,12,0,4,1,0,0,0,1
68,8,1,0,0,0,0,3,0
69,7,1,0,4,0,0,1,0
70,9,3,0,0,0,0,0,1
71,9,0,1,1,0,0,2,1
72,12,1,0,2,0,1,1,2
73,11,2,1,0,0,0,0,2
74,12,0,0,3,0,2,3,0
75,10,0,1,1,0,0,2,1
76,4,0,1,0,0,0,2,0
77,12,0,0,1,1,1,0,0
78,12,1,0,7,0,1,0,0
79,11,0,1,1,0,2,0,0
80,9,0,0,5,0,0,0,2
81,4,1,0,1,0,0,0,0
82,12,0,0,2,0,2,0,2
83,12,0,2,2,0,1,3,0
84,11,0,1,0,0,0,0,2
85,8,2,0,0,0,1,0,0
86,11,0,0,0,0,0,0,3
87,12,2,2,3,0,0,0,0
88,12,0,1,1,0,0,6,1
89,8,2,0,0,0,1,1,0
90,5,1,0,2,0,0,0,0
91,8,0,1,0,1,0,0,0
92,11,0,1,1,0,0,4,2
93,12,0,0,0,0,2,0,0
94,11,1,2,0,0,0,0,2
95,11,1,1,3,0,0,1,0
96,9,0,1,1,0,1,2,0
97,12,0,0,5,0,1,4,0
98,12,0,0,0,1,0,4,0
99,12,0,2,5,0,0,0,1
100,11,0,0,0,0,1,0,2
101,11,0,2,2,0,0,0,2
102,6,0,1,3,0,0,1,0
103,12,0,1,1,0,0,2,1
104,9,0,1,1,0,0,2,0
105,12,0,0,1,0,2,5,0
106,12,2,2,0,0,0,2,1
107,10,2,0,5,0,0,0,0
108,12,0,3,2,0,0,0,0
109,12,1,0,0,0,0,0,0
110,12,0,3,2,0,0,3,0
111,12,1,3,2,0,0,1,0
112,12,0,0,3,0,1,2,1
113,12,0,2,1,1,0,1,0
114,11,0,2,3,0,0,0,0
115,10,1,3,0,0,0,0,0
116,7,1,0,4,0,0,1,0
117,12,0,0,3,0,1,2,2
118,10,1,1,0,0,1,0,0
119,11,1,2,2,0,1,0,0
120,8,0,0,0,0,1,1,1
121,9,1,0,0,0,0,3,2
122,10,0,1,0,0,1,1,0
123,7,0,0,1,0,0,0,1
124,12,0,0,4,0,1,2,1
125,8,0,1,2,0,0,0,0
126,12,0,1,0,1,1,1,0
127,11,0,1,2,0,0,2,0
128,10,2,0,0,0,1,1,0
129,8,0,2,0,0,0,3,0
130,9,0,1,1,0,0,4,0
131,8,1,0,4,0,0,0,1
132,8,1,0,0,0,0,2,0
133,12,3,1,0,0,0,1,1
134,12,1,2,3,0,0,0,0
135,11,0,3,0,0,0,4,0
136,12,0,2,0,0,1,0,1
137,10,0,4,0,0,0,0,1
138,11,0,0,3,1,0,1,0
139,9,0,0,1,0,0,0,1
140,9,0,2,2,0,0,1,1
141,8,1,1,1,0,0,1,0
142,11,0,0,0,0,1,1,2
143,8,0,0,3,0,0,1,0
144,7,0,0,5,0,0,0,0
145,10,0,0,1,0,1,5,0
146,11,0,0,1,0,1,1,0
147,9,1,0,3,0,0,3,0
148,12,2,0,2,0,0,0,0
149,11,1,1,0,0,1,1,0
150,12,0,2,0,0,1,2,0
151,7,0,0,2,0,0,2,1
152,10,1,0,3,0,1,1,0
153,12,2,0,1,0,1,2,0
154,11,0,0,0,0,0,6,2
155,11,0,1,1,0,0,1,3
156,11,0,1,0,0,2,2,0
157,6,0,0,0,0,0,5,0
158,10,0,0,2,0,0,2,2
159,8,0,1,1,0,0,3,1
160,10,0,1,5,0,0,0,0
161,10,1,1,3,0,0,1,1
162,12,0,3,0,0,1,3,0
163,6,0,0,1,0,0,4,0
164,11,1,0,1,0,0,0,0
165,8,0,0,2,0,0,3,1
166,12,0,1,8,0,0,0,0
167,12,0,0,4,0,1,1,1
168,8,0,1,1,0,0,1,0
169,12,0,0,4,0,0,4,2
170,11,0,1,0,0,0,1,3
171,8,1,0,4,0,0,1,0
172,8,1,0,2,0,0,1,1
173,12,3,0,2,0,0,0,2
174,7,1,1,1,0,0,0,1
175,9,0,0,0,0,1,3,1
176,12,1,2,1,0,0,2,1
177,12,0,3,3,0,1,0,0
178,11,0,0,1,1,0,0,0
179,8,0,2,0,0,0,2,1
180,12,0,0,1,0,3,2,0
181,8,0,0,2,0,1,0,0
182,10,0,0,2,0,0,3,0
183,11,0,3,0,0,0,0,0
184,5,0,1,0,0,0,0,0
185,11,3,0,2,0,0,0,1
186,9,0,0,1,0,0,3,1
187,9,0,0,4,0,0,1,1
188,12,2,1,1,0,0,3,0
189,12,2,0,5,0,1,0,0
190,11,1,1,0,0,0,1,1
191,8,1,0,1,0,1,0,0
192,10,0,0,0,0,0,0,3
193,5,0,1,0,0,1,0,0
194,11,1,1,0,0,0,1,0
195,12,0,2,4,0,0,3,0
196,12,0,1,0,0,0,6,1
197,10,0,1,2,0,1,0,1
198,9,0,1,0,1,0,1,0
199,6,0,1,0,0,0,4,0
200,12,0,0,0,0,1,3,1
201,12,1,0,0,0,0,6,2
202,11,0,0,0,0,1,4,2
203,11,0,1,5,0,0,2,0
204,11,0,1,3,0,0,6,0
205,12,0,0,6,0,0,1,1
206,9,0,0,5,0,1,0,0
207,12,4,0,2,0,0,0,0
208,12,0,0,1,0,0,2,2
209,12,0,0,1,1,1,2,0
210,10,0,2,2,0,0,0,0
211,12,2,2,4,0,0,0,0
212,12,2,0,1,0,0,5,1
213,10,0,0,2,1,0,0,0
214,11,0,2,3,0,0,3,0
215,7,0,0,0,0,2,1,0
216,9,0,0,0,0,2,0,1
217,9,0,0,1,0,0,0,0
218,10,1,2,0,0,0,2,0
219,10,1,2,2,0,0,0,0
220,12,0,2,4,0,0,0,0
221,7,0,3,1,0,0,0,0
222,12,1,0,0,0,0,1,2
223,12,1,0,0,1,1,1,0
224,12,1,2,0,0,0,5,0
225,11,0,1,3,0,0,0,2
226,11,0,0,8,0,0,0,1
227,12,1,0,0,0,0,6,2
228,12,0,1,0,0,0,10,0
229,11,1,1,0,0,1,4,0
230,12,0,3,0,0,1,3,0
231,12,1,0,4,0,0,0,2
232,8,1,1,3,0,0,1,0
233,10,0,0,4,0,0,1,0
234,8,0,0,0,0,1,2,0
235,3,0,0,3,0,0,0,0
236,6,2,0,1,0,0,1,0
237,9,1,0,0,0,0,2,0
238,10,0,1,0,0,0,3,2
239,4,0,0,1,0,0,1,1
240,12,1,1,3,0,0,1,0
241,10,0,3,2,0,0,0,1
242,9,0,0,5,0,0,1,1
243,12,3,1,0,0,0,0,2
244,6,2,1,0,0,0,0,0
245,12,0,1,6,0,0,2,1
246,8,0,0,2,0,0,2,0
247,10,0,1,0,0,0,1,2
248,11,3,0,0,0,1,2,0
249,12,0,3,4,0,0,0,0
250,11,0,0,1,0,1,2,1
251,12,5,1,0,0,0,0,0
252,9,0,0,0,0,1,0,1
253,10,2,0,2,0,0,2,1
254,11,1,3,0,0,0,1,1
255,11,1,0,3,0,0,6,0
256,7,0,0,3,0,0,2,1
257,11,2,0,2,0,0,0,0
258,7,1,0,2,0,0,0,0
259,10,1,0,1,0,0,6,0
260,10,0,0,0,0,1,1,2
261,9,1,0,1,0,0,2,1
262,10,1,2,0,0,0,0,1
263,11,3,0,0,0,0,2,1
264,12,0,1,1,0,0,2,1
265,8,0,1,2,0,0,0,2
266,9,1,2,0,0,1,0,0
267,11,2,0,2,0,0,1,1
268,9,0,3,1,0,0,0,0
269,12,1,0,4,0,0,0,3
270,9,0,2,0,0,0,5,0
271,9,1,0,0,0,0,2,2
272,10,0,1,0,0,0,7,0
273,11,0,0,2,0,1,0,3
274,9,2,0,0,0,1,2,0
275,11,0,1,4,0,0,5,0
276,10,0,0,2,1,0,0,0
277,6,0,1,0,0,0,3,0
278,10,1,0,4,0,0,4,0
279,12,1,0,2,0,0,5,0
280,12,0,2,2,0,2,0,0
281,10,2,1,0,0,0,1,1
282,11,2,0,3,0,0,0,0
283,12,1,1,2,0,0,2,2
284,12,1,1,1,0,2,1,0
285,12,0,1,0,0,1,4,1
286,7,0,0,0,0,0,0,3
287,12,0,2,0,0,0,4,1
288,8,0,0,1,0,0,3,2
289,9,0,1,2,0,1,1,0
290,9,0,2,0,0,0,5,0
291,10,1,1,1,0,1,1,0
292,10,1,2,2,0,0,2,0
293,11,0,1,2,0,0,3,2
294,5,1,1,0,0,0,1,0
295,10,1,0,1,0,1,0,1
296,11,4,1,0,0,0,0,0
297,9,2,0,0,0,1,2,0
298,12,0,1,1,0,1,2,1
299,8,0,0,2,0,0,2,0
300,11,0,0,0,0,0,9,0
301,11,0,0,1,0,0,1,2
302,11,0,3,0,0,0,3,1
303,11,0,1,0,0,0,3,3
304,9,1,1,0,0,1,0,0
305,10,0,1,3,0,1,0,1
306,10,0,0,0,0,0,5,2
307,11,0,0,1,0,0,0,1
308,11,1,2,2,0,0,1,1
309,9,0,0,5,0,0,2,1
310,12,1,0,0,0,0,10,0
311,11,2,0,0,0,1,4,0
312,12,0,1,7,0,0,1,0
313,12,2,0,2,0,0,4,0
314,12,1,0,2,0,1,3,1
315,12,0,3,3,0,0,3,0
316,12,0,1,1,0,2,0,1
317,12,3,0,0,0,0,4,0
318,12,1,1,4,0,0,2,0
319,11,1,2,2,0,0,0,1
320,12,2,0,2,0,2,0,0
321,11,1,1,1,0,0,0,3
322,10,0,1,8,0,0,0,0
323,9,0,1,0,0,1,3,0
324,12,0,1,0,0,0,5,2
325,11,0,2,1,0,0,3,0
326,10,0,0,0,0,3,0,0
327,10,0,0,1,0,1,1,2
328,11,2,2,2,0,0,1,0
329,8,0,0,2,0,0,2,0
330,11,0,1,2,0,1,1,1
331,12,0,4,1,0,1,0,0
332,12,1,1,0,0,0,3,0
333,12,0,0,0,1,2,0,0
334,9,0,4,0,0,0,0,0
335,10,1,0,0,0,0,1,3
336,8,1,0,0,0,0,2,2
337,8,0,4,0,0,0,0,0
338,8,2,0,2,0,0,0,0
339,6,0,0,1,0,0,0,1
340,11,1,3,0,0,1,0,0
341,10,0,1,0,1,0,2,0
342,7,0,1,3,0,0,2,0
343,8,0,0,0,0,0,7,0
344,10,0,0,3,0,1,2,1
345,6,0,0,0,0,0,2,2
346,11,1,0,5,0,0,0,0
347,4,1,0,1,0,0,1,0
348,12,0,4,1,0,0,0,1
349,11,0,2,1,0,0,0,1
350,12,1,0,1,0,0,3,0
351,12,2,0,1,0,0,7,0
352,9,1,1,1,0,0,0,2
353,12,0,3,0,1,0,0,0
354,11,2,0,1,0,0,0,0
355,11,2,2,0,0,0,1,0
356,12,0,1,0,0,1,2,0
357,10,3,0,0,0,0,0,0
358,10,4,0,0,0,0,0,1
359,6,0,0,0,0,0,2,0
360,12,0,0,3,0,1,2,2
361,12,1,2,1,0,1,0,0
362,11,0,0,3,0,0,2,1
363,9,0,2,1,0,1,0,0
364,10,1,1,2,0,0,0,0
365,7,0,1,0,0,0,0,1
366,12,0,0,1,0,0,7,1
367,9,2,0,2,0,0,0,0
368,12,0,0,1,0,0,0,2
369,12,0,0,7,0,1,2,0
370,12,2,0,0,0,1,2,0
371,11,2,3,1,0,0,0,0
372,12,1,0,0,1,0,1,0
373,10,0,0,2,0,0,1,3
374,6,0,0,1,0,0,1,1
375,9,1,1,3,0,0,1,0
376,11,0,0,0,0,1,1,3
377,7,0,0,0,0,0,4,1
378,11,1,0,4,0,0,3,1
379,12,0,2,3,0,0,1,1
380,12,0,1,3,0,0,1,3
381,11,0,1,1,1,0,0,1
382,12,2,0,0,0,1,2,0
383,12,3,0,1,0,0,1,0
384,8,0,1,3,0,0,3,0
385,10,2,0,1,0,0,0,0
386,8,0,0,2,0,0,0,3
387,10,0,0,1,0,1,1,0
388,9,1,0,1,0,0,6,0
389,10,1,1,2,0,0,3,0
390,10,2,1,1,0,0,1,1
391,4,0,0,0,0,0,1,1
392,10,0,0,1,0,0,6,1
393,10,1,2,0,0,0,2,1
394,12,0,0,0,0,2,3,1
395,9,2,0,5,0,0,0,0
396,9,0,1,3,0,0,0,0
397,12,1,1,0,0,0,6,0
398,12,0,1,0,0,0,0,3
399,12,1,0,3,0,0,1,2
400,12,0,1,3,0,1,0,0
401,10,0,0,2,0,2,0,1
402,3,1,0,0,0,0,0,0
403,8,0,0,0,0,0,4,2
404,12,1,3,1,0,0,0,0
405,12,2,1,1,0,0,1,2
406,9,2,0,3,0,0,2,0
407,12,2,2,0,0,0,2,1
408,6,0,1,1,0,0,0,1
409,10,1,0,0,0,1,0,2
410,9,0,0,5,0,0,0,1
411,11,1,0,3,0,1,2,0
412,7,0,0,6,0,0,0,0
413,11,0,0,5,0,1,1,0
414,9,0,0,0,0,0,8,0
415,10,1,0,1,0,1,4,0
416,10,0,0,0,0,0,6,1
417,5,0,1,2,0,0,1,0
418,11,1,0,4,0,0,1,1
419,10,0,0,3,0,1,0,2
420,9,1,1,2,0,0,0,0
421,8,0,0,1,0,0,0,3
422,12,1,0,0,0,1,1,0
423,12,0,1,1,0,1,1,2
424,12,0,0,5,0,1,0,0
425,12,2,2,0,0,0,0,1
426,8,0,0,2,0,0,1,1
427,12,0,1,1,0,0,1,2
428,12,1,0,1,0,1,1,0
429,11,0,0,1,0,1,6,0
430,12,0,0,0,0,1,1,1
431,12,2,0,1,0,0,1,1
432,11,1,0,2,0,0,2,2
433,11,0,4,0,0,0,1,0
434,12,0,2,2,0,0,1,1
435,8,0,0,3,0,1,0,0
436,12,0,1,4,0,0,4,0
437,12,0,0,6,0,0,2,1
438,8,0,1,4,0,0,1,0
439,11,0,1,0,0,2,1,1
440,12,0,1,5,0,0,3,1
441,10,3,0,0,0,0,0,2
442,11,3,2,0,0,0,1,0
443,12,2,0,4,0,0,4,0
444,10,0,1,2,0,0,1,0
445,9,0,0,3,0,0,5,0
446,11,1,1,2,0,0,5,0
447,12,2,2,2,0,0,2,0
448,11,2,1,0,0,0,0,1
449,10,0,2,4,0,0,0,1
450,10,0,0,2,1,0,0,0
451,9,0,2,1,0,0,0,1
452,11,1,2,0,0,0,0,0
453,10,3,0,1,0,0,2,0
454,10,0,0,0,0,0,0,3
455,6,2,0,0,0,0,1,0
456,9,2,1,0,0,0,0,1
457,10,2,0,1,0,0,1,2
458,10,1,1,0,0,0,2,1
459,10,1,0,0,0,1,5,0
460,10,0,2,0,0,0,2,0
461,12,0,1,0,0,0,1,0
462,11,0,0,0,0,3,0,1
463,10,2,0,6,0,0,0,0
464,10,0,2,0,0,1,0,1
465,11,0,0,0,1,0,2,1
466,12,1,0,0,0,0,3,0
467,9,0,0,1,0,2,1,0
468,10,0,1,0,0,0,2,0
469,12,0,4,1,0,0,0,1
470,9,0,1,5,0,0,0,0
471,8,0,1,4,0,0,1,0
472,12,0,3,0,0,2,0,0
473,12,0,0,1,0,1,0,0
474,11,1,0,2,0,2,1,0
475,10,0,3,0,0,1,0,0
476,11,1,0,0,0,3,0,0
477,12,0,1,7,0,0,3,0
478,9,1,0,0,0,0,2,2
479,8,0,0,2,0,0,4,0
480,12,0,1,4,0,0,3,0
481,4,1,0,1,0,0,1,0
482,11,1,1,2,0,0,0,1
483,10,0,1,3,0,0,2,0
484,12,0,0,0,0,1,5,2
485,12,3,1,3,0,0,0,0
486,10,0,3,2,0,0,0,0
487,12,0,0,5,0,0,0,1
488,12,2,1,0,0,0,4,0
489,12,1,1,3,0,1,1,0
490,12,0,1,3,0,0,5,1
491,11,0,2,1,0,0,3,0
492,3,0,0,0,0,0,2,0
493,12,0,0,3,1,0,2,0
494,11,0,0,0,0,0,7,1
495,7,1,2,0,0,0,1,0
496,12,6,0,0,0,0,0,0
497,10,3,0,1,0,0,1,0
498,12,0,2,1,0,0,3,1
499,5,0,0,0,0,0,2,1
500,6,0,0,0,0,0,2,2
501,9,0,0,3,0,0,6,0
502,9,0,0,3,0,0,0,2
503,12,1,0,2,0,0,2,3
504,12,1,1,2,0,1,2,0
505,11,0,0,2,0,0,2,2
506,9,0,1,3,0,1,1,0
507,6,0,2,0,0,0,1,0
508,11,0,2,1,0,0,0,1
509,11,0,0,5,0,0,1,0
510,11,0,0,2,0,1,6,0
511,11,2,2,0,0,0,0,0
512,10,1,1,0,0,0,3,1
513,10,1,0,7,0,0,1,0
514,10,0,0,3,0,1,1,0
515,12,0,4,0,0,0,0,1
516,12,0,0,0,1,0,0,2
517,10,0,0,2,0,1,0,1
518,7,2,0,0,0,0,3,0
519,11,1,0,2,0,0,4,0
520,10,0,0,6,0,0,2,1
521,12,1,0,0,0,1,3,2
522,7,0,0,1,0,0,4,1
523,12,1,0,2,0,0,1,0
524,12,0,1,4,0,0,5,0
525,11,0,2,2,0,1,2,0
526,10,1,0,3,0,1,1,0
527,12,1,0,2,0,0,8,0
528,10,0,0,0,1,0,2,1
529,11,0,0,3,0,0,2,0
530,7,0,1,2,0,0,1,0
531,12,3,0,0,0,0,4,1
532,12,3,0,0,0,0,0,1
533,7,1,1,0,0,0,1,0
534,12,0,2,5,0,0,3,0
535,12,1,2,0,0,0,1,2
536,6,0,1,0,0,0,0,0
537,7,0,1,2,0,0,0,0
538,11,1,0,0,0,0,0,1
539,11,0,1,4,0,0,1,1
540,10,2,1,0,0,0,3,0
541,10,1,1,2,0,1,0,0
542,10,2,1,3,0,0,0,0
543,11,0,2,6,0,0,1,0
544,10,0,3,4,0,0,0,0
545,12,2,0,0,0,1,0,1
546,12,0,3,3,0,1,0,0
547,6,0,0,2,0,0,0,0
548,11,1,2,1,0,0,0,1
549,11,0,0,0,0,0,3,1
550,5,0,0,3,0,0,0,1
551,12,1,0,2,0,1,0,0
552,11,1,0,0,0,0,6,0
553,12,0,0,0,0,0,1,0
554,12,0,0,1,0,0,6,1
555,12,1,0,0,0,0,4,3
556,7,0,0,1,0,1,1,0
557,12,0,0,1,0,0,0,2
558,12,1,0,0,0,0,0,1
559,9,1,1,0,0,1,1,0
560,9,1,0,4,0,0,3,0
561,10,0,0,2,0,0,5,1
562,11,1,0,4,0,1,0,1
563,11,0,2,1,0,1,1,0
564,10,0,0,4,0,0,1,0
565,11,1,2,0,0,0,1,0
566,12,0,2,0,0,2,0,1
567,9,0,0,5,0,0,4,0
568,6,0,1,0,0,0,2,0
569,12,2,0,0,0,1,3,1
570,8,0,0,3,0,0,3,0
571,9,0,1,4,0,0,1,1
572,11,0,1,0,0,0,3,3
573,10,1,0,4,0,0,2,0
574,12,0,1,0,0,0,6,1
575,10,1,0,4,0,0,1,1
576,11,0,0,1,0,1,1,1
577,12,0,0,0,2,0,0,0
578,10,0,0,2,1,0,0,1
579,10,0,0,0,0,0,8,1
580,8,0,0,6,0,0,0,1
581,9,1,0,3,0,0,2,1
582,11,0,1,0,0,0,6,1
583,12,0,2,0,0,1,1,2
584,11,0,1,0,1,0,0,1
585,12,0,0,2,0,1,4,0
586,10,0,0,3,0,0,2,0
587,11,1,0,0,0,1,1,0
588,9,0,2,3,0,0,0,1
589,9,0,0,2,0,1,0,1
590,10,0,0,0,0,0,3,2
591,5,0,0,3,0,0,0,0
592,11,2,2,3,0,0,0,0
593,9,1,1,2,0,0,0,1
594,12,0,0,3,0,1,4,0
595,11,1,1,3,0,0,0,2
596,10,1,0,1,0,0,2,0
597,12,0,0,2,0,0,1,2
598,6,0,0,3,0,0,0,0
599,11,1,0,0,0,0,8,0
600,9,1,0,0,1,0,1,0
601,12,1,1,3,0,1,1,0
602,12,2,0,1,0,0,5,1
603,12,1,0,0,0,0,2,2
604,11,1,1,2,0,0,2,0
605,9,2,0,0,0,1,1,0
606,12,2,1,1,0,0,0,0
607,11,1,1,0,0,0,2,2
608,11,2,0,1,0,0,4,1
609,10,1,1,0,0,0,2,0
610,11,0,1,2,0,0,5,1
611,11,1,0,5,0,0,3,0
612,12,2,0,3,0,1,0,1
613,12,2,0,2,0,1,0,1
614,11,1,0,4,0,0,1,1
615,12,1,2,1,0,1,0,0
616,12,0,2,3,0,1,0,0
617,12,3,0,1,0,0,0,2
618,9,0,2,0,0,0,3,0
619,12,0,2,4,0,0,0,1
620,12,0,2,6,0,0,0,1
621,11,0,2,0,0,0,6,0
622,10,0,0,4,0,1,1,1
623,10,0,0,3,0,1,2,0
624,12,1,3,2,0,0,0,1
625,7,0,0,0,0,1,2,0
626,10,2,2,0,0,0,0,0
627,12,0,0,0,0,2,1,2
628,9,2,1,3,0,0,0,0
629,9,0,0,0,0,0,4,0
630,10,2,0,6,0,0,0,0
631,12,1,1,1,0,1,2,1
632,12,1,1,0,0,2,0,0
633,11,1,0,5,0,1,1,0
634,11,3,1,0,0,1,0,0
635,8,0,0,5,0,0,1,0
636,11,1,1,0,0,2,0,0
637,11,0,4,0,0,0,0,0
638,11,1,0,2,0,0,0,1
639,11,0,2,4,0,0,0,0
640,12,0,2,3,0,1,1,0
641,6,0,0,3,0,0,0,1
642,6,1,0,0,0,0,3,0
643,10,0,0,2,0,1,1,0
644,12,0,2,1,0,0,0,1
645,11,0,1,1,0,1,1,2
646,12,2,1,0,0,0,5,0
647,11,0,0,3,0,2,0,1
648,12,1,2,3,0,1,0,0
649,12,1,1,2,0,0,5,0
650,12,1,2,0,0,0,1,2
651,12,0,2,0,0,2,2,0
652,10,1,0,4,0,0,0,2
653,10,0,0,1,1,0,0,0
654,10,0,1,1,0,1,2,1
655,6,0,3,0,0,0,0,0
656,12,2,2,2,0,0,2,0
657,8,0,0,0,0,0,4,2
658,7,1,0,1,0,1,1,0
659,11,2,0,0,0,0,0,2
660,12,0,0,5,0,0,5,0
661,12,0,4,0,0,0,4,0
662,10,0,0,0,0,0,4,0
663,8,0,0,2,0,0,0,3
664,12,0,2,0,0,2,0,1
665,10,1,0,1,0,0,3,2
666,12,1,0,5,0,1,0,1
667,12,2,0,2,0,0,4,1
668,8,1,1,0,0,1,0,0
669,12,1,0,1,0,1,4,0
670,10,0,2,3,0,0,2,0
671,11,0,2,0,0,0,1,3
672,7,0,1,1,0,0,2,1
673,12,2,0,3,0,0,5,0
674,12,4,0,0,0,0,0,2
675,12,0,0,0,0,0,2,2
676,1,0,0,1,0,0,0,0
677,12,0,3,6,0,0,0,0
678,11,2,0,3,0,0,3,0
679,12,0,2,4,0,0,2,0
680,11,2,0,2,0,1,0,1
681,9,2,0,2,0,0,2,0
682,12,0,1,1,0,0,5,0
683,10,0,0,2,0,1,0,2
684,12,0,2,1,0,0,0,2
685,12,0,0,4,0,0,3,2
686,12,0,2,6,0,0,1,0
687,11,2,1,1,0,0,3,0
688,12,0,0,0,0,0,1,0
689,11,1,0,7,0,0,0,1
690,7,0,0,0,0,1,4,0
691,11,0,2,2,0,0,0,1
692,10,0,1,1,0,0,3,0
693,12,0,2,0,0,0,0,2
694,11,2,0,2,0,0,3,1
695,12,3,0,0,0,1,1,1
696,10,0,0,3,0,0,7,0
697,10,1,0,4,0,0,0,0
698,12,2,0,1,0,0,3,0
699,11,0,1,4,0,0,2,0
700,9,0,0,4,0,1,0,1
701,11,1,1,0,0,0,2,0
702,12,0,0,0,0,1,2,3
703,12,4,2,0,0,0,0,0
704,12,1,2,0,0,0,0,0
705,11,0,1,2,0,0,0,3
706,10,1,1,1,0,1,0,0
707,12,1,1,5,0,1,0,0
708,12,0,3,2,0,1,1,0
709,11,0,0,6,0,0,0,1
710,12,1,1,4,0,0,0,0
711,12,0,3,6,0,0,0,0
712,11,1,1,1,0,1,1,1
713,12,0,0,2,0,2,2,1
714,11,0,1,0,0,0,9,0
715,12,0,0,1,0,0,5,1
716,9,0,0,4,0,0,1,0
717,12,0,0,1,0,1,0,0
718,12,4,1,1,0,0,1,0
719,10,1,0,1,1,0,1,0
720,12,0,2,1,0,0,5,1
721,11,2,0,0,0,0,6,0
722,12,1,0,7,0,1,0,0
723,10,0,0,2,1,0,2,0
724,10,0,4,0,0,0,2,0
725,12,2,0,1,0,0,2,2
726,6,0,0,0,0,0,3,1
727,12,1,1,4,0,0,0,1
728,12,2,0,2,0,0,2,0
729,11,3,0,0,0,1,2,0
730,8,0,0,1,0,0,0,3
731,12,0,2,0,0,0,2,0
732,11,1,0,2,0,0,4,1
733,9,0,0,5,0,0,2,0
734,7,0,2,2,0,0,1,0
735,10,2,0,2,0,0,1,1
736,12,0,1,0,0,0,10,0
737,10,2,1,0,0,0,1,0
738,11,1,4,0,0,0,1,0
739,12,1,0,0,1,0,0,2
740,12,1,0,8,0,0,0,1
741,7,2,1,0,0,0,1,0
742,10,1,0,5,0,0,1,0
743,7,0,0,0,0,0,0,2
744,12,1,0,2,0,1,3,0
745,12,0,2,0,0,1,0,2
746,11,0,0,3,0,0,8,0
747,12,0,2,3,0,0,0,0
748,12,3,2,1,0,0,1,0
749,12,0,0,6,0,1,0,0
750,10,2,0,4,0,0,2,0
751,10,0,0,1,0,0,6,0
752,11,0,1,0,0,1,4,1
753,12,2,0,5,0,0,2,0
754,12,1,0,3,0,0,5,1
755,10,0,1,5,0,0,2,0
756,12,1,0,3,0,0,2,0
757,8,1,1,0,0,0,2,0
758,8,1,0,3,0,0,0,0
759,11,0,0,9,0,0,1,0
760,9,1,0,2,0,0,2,0
761,10,0,1,6,0,0,0,0
762,11,1,3,0,0,0,1,1
763,10,1,0,5,0,0,2,0
764,11,0,1,0,0,0,0,3
765,7,2,0,0,0,0,2,0
766,6,0,1,1,0,1,0,0
767,12,1,0,0,0,0,1,2
768,12,0,0,3,0,1,3,0
769,12,2,0,8,0,0,0,0
770,9,0,0,0,0,0,0,3
771,11,2,0,1,0,1,3,0
