,CAS,NAME,SMILE
20,['6484-52-2'],azanium;nitrate,[NH4+].[N+](=O)([O-])[O-]
21,['658066-35-4'],N-[2-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]ethyl]-2-(trifluoromethyl)benzamide,C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F
22,['6581-06-2'],"1-azabicyclo[2.2.2]octan-3-yl 2-hydroxy-2,2-diphenylacetate",C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O
23,['673-97-2'],1-[fluoro(methyl)phosphoryl]oxyethane,CCOP(=O)(C)F
24,['68855-54-9'],dioxosilane,O=[Si]=O
25,['705-60-2'],[(E)-2-nitroprop-1-enyl]benzene,C/C(=C\C1=CC=CC=C1)/[N+](=O)[O-]
26,['77-09-8'],"3,3-bis(4-hydroxyphenyl)-2-benzofuran-1-one",C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O
27,['77-53-2'],"(1S,2R,5S,7R,8R)-2,6,6,8-tetramethyltricyclo[5.3.1.01,5]undecan-8-ol",C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)O
28,['7757-79-1'],potassium;nitrate,[N+](=O)([O-])[O-].[K+]
29,['7778-50-9'],dipotassium;oxido-(oxido(dioxo)chromio)oxy-dioxochromium,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+]
30,['7782-63-0'],iron(2+);sulfate;heptahydrate,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Fe+2]
31,['7782-77-6'],nitrous acid,N(=O)O
32,['7783-95-1'],None,None
33,['7789-00-6'],dipotassium;dioxido(dioxo)chromium,[O-][Cr](=O)(=O)[O-].[K+].[K+]
34,['79082-92-1'],"[(2S,3S,4S,5R)-3,4-dihydroxy-2-(hydroxymethyl)-5-(phosphonooxymethyl)oxolan-2-yl] dihydrogen phosphate",C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)OP(=O)(O)O)O)O)OP(=O)(O)O
35,['8002-05-9'],None,None
36,['8007-56-5'],nitric acid;trihydrochloride,[N+](=O)(O)[O-].Cl.Cl.Cl
37,['8032-32-4'],None,None
38,['8038-65-1'],None,None
39,['90839-15-9'],None,None
40,['93240-66-5'],"2-[cyclopentyloxy(methyl)phosphoryl]sulfanyl-N,N-diethylethanamine",CCN(CC)CCSP(=O)(C)OC1CCCC1
41,['95962-14-4'],2-[2-(4-methylcyclohex-3-en-1-yl)propyl]cyclopentan-1-one,CC1=CCC(CC1)C(C)CC2CCCC2=O
42,['96096-52-5'],N-[2-(1H-indol-3-yl)ethyl]-N-methylpropan-2-amine,CC(C)N(C)CCC1=CNC2=CC=CC=C21
43,['50-01-1'],guanidine;hydrochloride,C(=N)(N)N.Cl
44,['50-02-2'],"(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
45,['50-03-3'],"[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate",CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O
46,['50-04-4'],"[2-[(8S,9S,10R,13S,14S,17R)-17-hydroxy-10,13-dimethyl-3,11-dioxo-1,2,6,7,8,9,12,14,15,16-decahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate",CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
47,['50-11-3'],"5,5-diethyl-1-methyl-1,3-diazinane-2,4,6-trione",CCC1(C(=O)NC(=O)N(C1=O)C)CC
48,['50-14-6'],"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
49,['50-21-5'],2-hydroxypropanoic acid,CC(C(=O)O)O
50,['50-22-6'],"(8S,9S,10R,11S,13S,14S,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O
51,['50-23-7'],"(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
52,['50-24-8'],"(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one",C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O
53,['50-71-5'],"1,3-diazinane-2,4,5,6-tetrone",C1(=O)C(=O)NC(=O)NC1=O
54,['50-99-7'],"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal",C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O
55,['51-15-0'],(NE)-N-[(1-methylpyridin-1-ium-2-yl)methylidene]hydroxylamine;chloride,C[N+]1=CC=CC=C1/C=N/O.[Cl-]
56,['51-35-4'],"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",C1[C@H](CN[C@@H]1C(=O)O)O
57,['51-85-4'],2-(2-aminoethyldisulfanyl)ethanamine,C(CSSCCN)N
58,['51-98-9'],"[(8R,9S,10R,13S,14S,17R)-17-ethynyl-13-methyl-3-oxo-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-yl] acetate",CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C
59,['52-21-1'],"[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate",CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)O
60,['52-31-3'],"5-(cyclohexen-1-yl)-5-ethyl-1,3-diazinane-2,4,6-trione",CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2
61,['52-39-1'],"(8S,9S,10R,11S,13R,14S,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10-methyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthrene-13-carbaldehyde",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O
62,['52-43-7'],"5,5-bis(prop-2-enyl)-1,3-diazinane-2,4,6-trione",C=CCC1(C(=O)NC(=O)NC1=O)CC=C
63,['52-51-7'],"2-bromo-2-nitropropane-1,3-diol",C(C(CO)([N+](=O)[O-])Br)O
64,['52-52-8'],1-aminocyclopentane-1-carboxylic acid,C1CCC(C1)(C(=O)O)N
65,['52-66-4'],2-amino-3-methyl-3-sulfanylbutanoic acid,CC(C)(C(C(=O)O)N)S
66,['52-67-5'],(2S)-2-amino-3-methyl-3-sulfanylbutanoic acid,CC(C)([C@H](C(=O)O)N)S
67,['52-76-6'],"(8R,9S,10R,13S,14S,17R)-17-ethynyl-13-methyl-2,3,6,7,8,9,10,11,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-17-ol",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34
68,['52-78-8'],"(8R,9S,10R,13S,14S,17S)-17-ethyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O
69,['52-89-1'],(2R)-2-amino-3-sulfanylpropanoic acid;hydrochloride,C([C@@H](C(=O)O)N)S.Cl
70,['52-90-4'],(2R)-2-amino-3-sulfanylpropanoic acid,C([C@@H](C(=O)O)N)S
71,['53-02-1'],"2-hydroxy-1-[(3R,5R,8S,9S,10S,11S,13S,14S,17R)-3,11,17-trihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-yl]ethanone",C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)O
72,['53-03-2'],"(8S,9S,10R,13S,14S,17R)-17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-6,7,8,9,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,11-dione",C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
73,['53-05-4'],"(3R,5R,8S,9S,10S,13S,14S,17R)-3,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,3,4,5,6,7,8,9,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-11-one",C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
74,['53-06-5'],"(8S,9S,10R,13S,14S,17R)-17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,12,14,15,16-decahydrocyclopenta[a]phenanthrene-3,11-dione",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C
75,['53-36-1'],"[2-[(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-6,10,13-trimethyl-3-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate",C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)C)O
76,['53-38-3'],"(2R,3aS,3bS,5aS,6R,8aS,8bR,10aS)-6-ethynyl-2,3a,5a-trimethyl-1,3,3b,4,5,7,8,8a,8b,9,10,10a-dodecahydroindeno[5,4-e]indene-2,6-diol",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CC[C@@H]4[C@@]3(C[C@](C4)(C)O)C
77,['53-39-4'],"(1S,3aS,3bR,5aS,9aS,9bS,11aS)-1-hydroxy-1,9a,11a-trimethyl-2,3,3a,3b,4,5,5a,6,9,9b,10,11-dodecahydroindeno[4,5-h]isochromen-7-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C
78,['53-43-0'],"(3S,8R,9S,10R,13S,14S)-3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C
79,['54-06-8'],"3-hydroxy-1-methyl-2,3-dihydroindole-5,6-dione",CN1CC(C2=CC(=O)C(=O)C=C21)O
80,['54-25-1'],"2-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,4-triazine-3,5-dione",C1=NN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
81,['54-91-1'],3-bromo-1-[4-(3-bromopropanoyl)piperazin-1-yl]propan-1-one,C1CN(CCN1C(=O)CCBr)C(=O)CCBr
82,['55-65-2'],2-[2-(azocan-1-yl)ethyl]guanidine,C1CCCN(CCC1)CCN=C(N)N
83,['55-86-7'],2-chloro-N-(2-chloroethyl)-N-methylethanamine;hydrochloride,CN(CCCl)CCCl.Cl
84,['56-03-1'],1-(diaminomethylidene)guanidine,C(=NC(=N)N)(N)N
85,['56-12-2'],4-aminobutanoic acid,C(CC(=O)O)CN
86,['56-29-1'],"5-(cyclohexen-1-yl)-1,5-dimethyl-1,3-diazinane-2,4,6-trione",CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2
87,['56-40-6'],2-aminoacetic acid,C(C(=O)O)N
88,['56-41-7'],(2S)-2-aminopropanoic acid,C[C@@H](C(=O)O)N
89,['56-45-1'],(2S)-2-amino-3-hydroxypropanoic acid,C([C@@H](C(=O)O)N)O
90,['56-47-3'],"[2-[(8S,9S,10R,13S,14S,17S)-10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate",CC(=O)OCC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
91,['56-84-8'],(2S)-2-aminobutanedioic acid,C([C@@H](C(=O)O)N)C(=O)O
92,['56-85-9'],"(2S)-2,5-diamino-5-oxopentanoic acid",C(CC(=O)N)[C@@H](C(=O)O)N
93,['56-97-3'],(NE)-N-[[1-[3-[4-[(E)-hydroxyiminomethyl]pyridin-1-ium-1-yl]propyl]pyridin-1-ium-4-yl]methylidene]hydroxylamine;dibromide,C1=C[N+](=CC=C1/C=N/O)CCC[N+]2=CC=C(C=C2)/C=N/O.[Br-].[Br-]
94,['57-00-1'],2-[carbamimidoyl(methyl)amino]acetic acid,CN(CC(=O)O)C(=N)N
95,['57-08-9'],6-acetamidohexanoic acid,CC(=O)NCCCCCC(=O)O
96,['57-43-2'],"5-ethyl-5-(3-methylbutyl)-1,3-diazinane-2,4,6-trione",CCC1(C(=O)NC(=O)NC1=O)CCC(C)C
97,['57-50-1'],"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O
98,['57-56-7'],aminourea,C(=O)(N)NN
99,['57-85-2'],"[(8R,9S,10R,13S,14S,17S)-10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl] propanoate",CCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
100,['57-87-4'],"(3S,9S,10R,13R,14R,17R)-17-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C
101,['57-92-1'],"2-[(1R,2R,3S,4R,5R,6S)-3-(diaminomethylideneamino)-4-[(2R,3R,4R,5S)-3-[(2S,3S,4S,5R,6S)-4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-formyl-4-hydroxy-5-methyloxolan-2-yl]oxy-2,5,6-trihydroxycyclohexyl]guanidine",C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
102,['58-18-4'],"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13,17-trimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C
103,['58-20-8'],"[(8R,9S,10R,13S,14S,17S)-10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl] 3-cyclopentylpropanoate",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=CC(=O)CC[C@]35C
104,['58-22-0'],"(8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
105,['58-85-5'],"5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoic acid",C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
106,['58-96-8'],"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione",C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
107,['59-01-8'],"(2R,3S,4S,5R,6R)-2-(aminomethyl)-6-[(1R,2R,3S,4R,6S)-4,6-diamino-3-[(2S,3R,4S,5S,6R)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxyoxane-3,4,5-triol",C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N
108,['59-23-4'],None,None
109,['59-51-8'],2-amino-4-methylsulfanylbutanoic acid,CSCCC(C(=O)O)N
110,['59-53-0'],2-acetamido-3-methyl-3-sulfanylbutanoic acid,CC(=O)NC(C(=O)O)C(C)(C)S
111,['60-00-4'],2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
112,['60-27-5'],2-amino-3-methyl-4H-imidazol-5-one,CN1CC(=O)N=C1N
113,['60-32-2'],6-aminohexanoic acid,C(CCC(=O)O)CCN
114,['61-90-5'],(2S)-2-amino-4-methylpentanoic acid,CC(C)C[C@@H](C(=O)O)N
115,['61-94-9'],"methyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate;hydrochloride",CN1CCC=C(C1)C(=O)OC.Cl
116,['62-47-5'],N-(2-aminoethyl)-2-sulfanylacetamide,C(CNC(=O)CS)N
117,['62-48-6'],2-sulfanyl-N'-(2-sulfanylacetyl)acetohydrazide,C(C(=O)NNC(=O)CS)S
118,['62-57-7'],2-amino-2-methylpropanoic acid,CC(C)(C(=O)O)N
119,['62-59-9'],"[(1R,2S,6S,9S,10R,11S,12S,14R,15S,18S,19S,22S,23S,25R)-1,10,11,12,14,23-hexahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] (Z)-2-methylbut-2-enoate",C/C=C(/C)\C(=O)O[C@H]1CC[C@]2([C@H]3[C@@]1(O[C@@]24C[C@]5([C@@H]6CN7C[C@H](CC[C@H]7[C@@]([C@]6([C@H](C[C@]5([C@@H]4CC3)O)O)O)(C)O)C)O)O)C
120,['63-00-3'],"(6R,8R,9S,10R,13S,14S)-6-hydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)C[C@H](C4=CC(=O)CC[C@]34C)O
121,['63-05-8'],"(8R,9S,10R,13S,14S)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
122,['64-55-1'],"[2-(carbamoyloxymethyl)-2,3-dimethylpentyl] carbamate",CCC(C)C(C)(COC(=O)N)COC(=O)N
123,['64-65-3'],"4-ethyl-4-methylpiperidine-2,6-dione",CCC1(CC(=O)NC(=O)C1)C
124,['64-69-7'],2-iodoacetic acid,C(C(=O)O)I
125,['64-85-7'],"(8S,9S,10R,13S,14S,17S)-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C
126,['65-82-7'],(2S)-2-acetamido-4-methylsulfanylbutanoic acid,CC(=O)N[C@@H](CCSC)C(=O)O
127,['66-22-8'],"1H-pyrimidine-2,4-dione",C1=CNC(=O)NC1=O
128,['66-28-4'],"(3S,5S,8R,9S,10S,13R,14S,17R)-3,5,14-trihydroxy-13-methyl-17-(5-oxo-2H-furan-3-yl)-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-10-carbaldehyde",C[C@]12CC[C@H]3[C@H]([C@]1(CC[C@@H]2C4=CC(=O)OC4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)C=O)O
129,['66-81-9'],"4-[(2R)-2-[(1S,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]piperidine-2,6-dione",C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C
130,['67-21-0'],2-amino-4-ethylsulfanylbutanoic acid,CCSCCC(C(=O)O)N
131,['67-42-5'],2-[2-[2-[2-[bis(carboxymethyl)amino]ethoxy]ethoxy]ethyl-(carboxymethyl)amino]acetic acid,C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
132,['67-43-6'],2-[bis[2-[bis(carboxymethyl)amino]ethyl]amino]acetic acid,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
133,['67-52-7'],"1,3-diazinane-2,4,6-trione",C1C(=O)NC(=O)NC1=O
134,['67-73-2'],"(1S,2S,4R,8S,9S,11S,12R,13S,19S)-12,19-difluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one",C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O
135,['67-92-5'],2-(diethylamino)ethyl 1-cyclohexylcyclohexane-1-carboxylate;hydrochloride,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl
136,['67-96-9'],"(1S,3E,4S)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylcyclohexan-1-ol",C[C@H]\1CC[C@@H](C/C1=C\C=C\2/CCC[C@]3([C@H]2CC[C@@H]3[C@H](C)/C=C/[C@H](C)C(C)C)C)O
137,['67-97-0'],"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
138,['67-99-2'],"(1R,7S,8S,11R)-7-hydroxy-11-(hydroxymethyl)-15-methyl-12,13-dithia-9,15-diazatetracyclo[9.2.2.01,9.03,8]pentadeca-3,5-diene-10,14-dione",CN1C(=O)[C@]23CC4=CC=C[C@@H]([C@H]4N2C(=O)[C@]1(SS3)CO)O
