,SMILES,A_Pred,B_Pred,C_Pred,A_test,B_test,C_test,A,B,C,Tmin,Tmax,T
10,CC(C)(C)CO,17.19200882520552,1256.9236429763594,-187.6323141967642,23.026308207497017,3694.9569104130996,-64.95003259265981,23.02631145,3694.958299,-64.95,333,406,"[333.0, 341.1111, 349.22223, 357.33334, 365.44446, 373.55554, 381.66666, 389.77777, 397.8889, 406.0]"
11,CCC(C)(C)O,16.568313986322103,1024.32621770945,-185.02871761071353,19.904003798195173,1988.0511237392495,-137.85003805217076,19.90400606,1988.051969,-137.85,299,396,"[299.0, 309.77777, 320.55554, 331.33334, 342.1111, 352.8889, 363.66666, 374.44446, 385.22223, 396.0]"
12,CC(C)(OC)OC,9.790121842163462,-12.19491496550254,-331.7450327111153,19.96841311646497,2314.9931008788803,-77.7209201742261,19.96840937,2314.991421,-77.721,292,357,"[292.0, 299.22223, 306.44446, 313.66666, 320.8889, 328.1111, 335.33334, 342.55554, 349.77777, 357.0]"
13,CC1=CC(=O)CC(C1)(C)C,17.403248993528837,1731.083683455336,-172.68085222658397,21.672805768318693,4588.619099424152,-38.4150049138077,21.67280588,4588.619204,-38.415,293,488,"[293.0, 314.66666, 336.33334, 358.0, 379.66666, 401.33334, 423.0, 444.66666, 466.33334, 488.0]"
14,CCC(C)C,12.385032755625627,74.72817224329252,-233.04726696947162,20.58337930320027,2376.1484319295405,-38.64608642798387,20.58338379,2376.150384,-38.646,255,323,"[255.0, 262.55554, 270.1111, 277.66666, 285.22223, 292.77777, 300.33334, 307.8889, 315.44446, 323.0]"
15,CC(C)CO,4.039550207624651,764.7193617216632,-495.1960906326962,21.517751986533206,2740.9519872181104,-106.47998219689799,21.5177498,2740.951243,-106.48,303,401,"[303.0, 313.8889, 324.77777, 335.66666, 346.55554, 357.44446, 368.33334, 379.22223, 390.1111, 401.0]"
16,CCC(C)O,16.42025953173934,974.5773465296063,-188.34070781293943,22.102994762399945,3026.032870864854,-86.60005327333722,22.10299785,3026.034303,-86.6,295,392,"[295.0, 305.77777, 316.55554, 327.33334, 338.1111, 348.8889, 359.66666, 370.44446, 381.22223, 392.0]"
17,CC(=O)OC,11.538384270433623,113.99984560858135,-224.67843583792873,21.285324463930934,2725.5691064556754,-50.74002338409004,21.28532686,2725.569975,-50.74,260,351,"[260.0, 270.1111, 280.22223, 290.33334, 300.44446, 310.55554, 320.66666, 330.77777, 340.8889, 351.0]"
18,CC(=O)OO,16.29443142041056,1251.5264611672296,-151.35403421778,25.411103117119037,5321.276722161083,7.088562089303436e-05,25.41109883,5321.27415,0.0,273,383,"[273.0, 285.22223, 297.44446, 309.66666, 321.8889, 334.1111, 346.33334, 358.55554, 370.77777, 383.0]"
19,C/C=C(\C)/C(=O)O,15.369504537982564,670.472341509341,-276.2335702248724,21.58167244775773,3524.338319825604,-121.14994047393793,21.58166956,3524.336743,-121.15,373,474,"[373.0, 384.22223, 395.44446, 406.66666, 417.8889, 429.1111, 440.33334, 451.55554, 462.77777, 474.0]"
20,CC1=CC(=C(C=C1)C(C)C)O,16.460610548374184,1336.1284071086702,-229.6267869343133,22.811114397103474,5029.027067782088,-58.59795166641188,22.81111184,5029.025445,-58.598,339,514,"[339.0, 358.44446, 377.8889, 397.33334, 416.77777, 436.22223, 455.66666, 475.1111, 494.55554, 514.0]"
21,CCC1=CC=CC=C1O,12.307863329144928,97.61875918298449,-392.15768179702235,21.024448485298414,3565.376182096556,-102.30488469617016,21.02444397,3565.373415,-102.305,424,491,"[424.0, 431.44446, 438.8889, 446.33334, 453.77777, 461.22223, 468.66666, 476.1111, 483.55554, 491.0]"
22,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,16.594173510377022,1522.496596160288,-246.13974619070638,24.03164469068317,6526.372879717545,-33.500934692139964,24.03164312,6526.371202,-33.501,374,555,"[374.0, 394.1111, 414.22223, 434.33334, 454.44446, 474.55554, 494.66666, 514.7778, 534.8889, 555.0]"
23,CC1CCCC1,15.531276708367,818.6214376881322,-153.44878689301808,21.14231126559963,2983.090257109963,-34.7600239246453,21.1423133,2983.091091,-34.76,255,373,"[255.0, 268.1111, 281.22223, 294.33334, 307.44446, 320.55554, 333.66666, 346.77777, 359.8889, 373.0]"
24,CC1CCCO1,10.189118425507163,363.5564608832843,-636.5977046093185,22.147068181250795,3853.269326590286,12.123952559196283,22.14706933,3853.270234,12.124,351,533,"[351.0, 371.22223, 391.44446, 411.66666, 431.8889, 452.1111, 472.33334, 492.55554, 512.7778, 533.0]"
25,CC(C)COC(=O)C(C)C,18.1911304091483,2003.7080022347227,-122.3847563096212,22.473161430047103,4158.275261028559,-40.73399999895162,22.47316143,4158.275261,-40.734,277,421,"[277.0, 293.0, 309.0, 325.0, 341.0, 357.0, 373.0, 389.0, 405.0, 421.0]"
26,CCCCOC(=O)C(=C)C,13.327552911073177,272.28796979576146,-291.46999828887164,21.164395090000117,3471.4187330000714,-76.02499999999682,21.16439509,3471.418733,-76.025,338,437,"[338.0, 349.0, 360.0, 371.0, 382.0, 393.0, 404.0, 415.0, 426.0, 437.0]"
27,C1CC(OC1)CO,11.964773309806565,91.87015233948935,-314.4104035141271,23.520584624278047,5274.248705957122,-11.547989214065668,23.52058436,5274.248455,-11.548,333,453,"[333.0, 346.33334, 359.66666, 373.0, 386.33334, 399.66666, 413.0, 426.33334, 439.66666, 453.0]"
28,C1=COC(=C1)C=O,10.99353638337715,0.2107972843958219,-424.2386592196391,21.306556346307854,3518.9345967572663,-74.93201570697346,21.30655669,3518.934879,-74.932,366,435,"[366.0, 373.66666, 381.33334, 389.0, 396.66666, 404.33334, 412.0, 419.66666, 427.33334, 435.0]"
29,CC(C1=CC=CC=C1)O,12.088025569093748,121.50435527053615,-373.292246906024,24.480716303144497,6151.406735654761,-1.725999908716091,24.4807163,6151.406733,-1.726,404,476,"[404.0, 412.0, 420.0, 428.0, 436.0, 444.0, 452.0, 460.0, 468.0, 476.0]"
30,CC1=CCC(CC1=O)C(=C)C,16.420558688628184,1455.2596088593027,-196.89959619223134,23.13674343226805,5444.163117755126,-31.979999938639324,23.13674343,5444.163116,-31.98,330,501,"[330.0, 349.0, 368.0, 387.0, 406.0, 425.0, 444.0, 463.0, 482.0, 501.0]"
31,CC(C)C1=CC=C(C=C1)N,19.656560077114936,2401.042972630078,-165.34500228441863,23.29437822961566,5461.41391812428,-36.24400695413566,23.2943784,5461.414084,-36.244,333,501,"[333.0, 351.66666, 370.33334, 389.0, 407.66666, 426.33334, 445.0, 463.66666, 482.33334, 501.0]"
32,CCCCN(CCCC)CCCC,14.387803696986195,637.2625964376355,-264.9738077609114,20.560313430675368,3547.8122978644064,-93.9959821897398,20.56031189,3547.811598,-93.996,336,488,"[336.0, 352.8889, 369.77777, 386.66666, 403.55554, 420.44446, 437.33334, 454.22223, 471.1111, 488.0]"
33,CCCCC(CC)COC(=O)C,26.526318097437734,6963.695203507257,1.1583844345261574,20.088859511517814,3390.4469463164946,-74.97196934809858,20.08885759,3390.446025,-74.972,268,423,"[268.0, 285.22223, 302.44446, 319.66666, 336.8889, 354.1111, 371.33334, 388.55554, 405.77777, 423.0]"
34,C1=CC=C(C=C1)/C=C/C=O,17.31235787372859,2028.8274301286515,-172.49816476736163,24.06259189185671,6164.226433987391,-27.703975343934374,24.06258987,6164.225224,-27.704,349,519,"[349.0, 367.8889, 386.77777, 405.66666, 424.55554, 443.44446, 462.33334, 481.22223, 500.1111, 519.0]"
35,COC1=CC=C(C=C1)CO,9.739625366466154,36.38522328343714,-359.9884006403048,22.80613838243944,4936.68264619039,-89.84399775511429,22.80613826,4936.682572,-89.844,354,453,"[354.0, 365.0, 376.0, 387.0, 398.0, 409.0, 420.0, 431.0, 442.0, 453.0]"
36,CCOC(=O)OCC,4.2066929697443625,286.8503370336342,-454.69433313739216,21.709950040462093,3540.629439395668,-51.57492739141219,21.70994658,3540.627533,-51.575,308,400,"[308.0, 318.22223, 328.44446, 338.66666, 348.8889, 359.1111, 369.33334, 379.55554, 389.77777, 400.0]"
37,CC1=CC(=C(C=C1)O)C,18.618323149003707,2246.267003009788,-180.80378117628052,21.153571411606535,3667.510753140383,-103.14601891815971,21.15357294,3667.511484,-103.146,368,513,"[368.0, 384.1111, 400.22223, 416.33334, 432.44446, 448.55554, 464.66666, 480.77777, 496.8889, 513.0]"
38,CC(=CCC/C(=C/CO)/C)C,16.554626645441257,1545.5161351365675,-209.2615423352941,23.847300231928557,5682.191701359741,-42.41897647935861,23.84729816,5682.190548,-42.419,342,503,"[342.0, 359.8889, 377.77777, 395.66666, 413.55554, 431.44446, 449.33334, 467.22223, 485.1111, 503.0]"
39,CCCC(=O)OC(=O)CCC,6.50086351133704,-64.13643591555456,-417.5253700600786,22.672223410233226,4767.1132330706005,-42.70392783276126,22.67221991,4767.110996,-42.704,350,471,"[350.0, 363.44446, 376.8889, 390.33334, 403.77777, 417.22223, 430.66666, 444.1111, 457.55554, 471.0]"
40,CCCCC(=O)CC,11.567446603246141,31.752305835520843,-344.1790714929348,21.7169852198584,3728.403845251044,-54.18315156014087,21.71699249,3728.407952,-54.183,354,404,"[354.0, 359.55554, 365.1111, 370.66666, 376.22223, 381.77777, 387.33334, 392.8889, 398.44446, 404.0]"
41,C1=CC(=O)C=CC1=O,11.462552725491483,78.68379066007574,-358.59215689386417,23.447062347205293,5356.55848369582,-8.03602195885922,23.44706282,5356.558964,-8.036,388,457,"[388.0, 395.66666, 403.33334, 411.0, 418.66666, 426.33334, 434.0, 441.66666, 449.33334, 457.0]"
42,CCC(CC(C)C)CO,15.875057885522112,931.2276206130302,-239.8078962438568,20.847837674387975,3053.527920538093,-122.62998209662493,20.84783569,3053.527169,-122.63,343,450,"[343.0, 354.8889, 366.77777, 378.66666, 390.55554, 402.44446, 414.33334, 426.22223, 438.1111, 450.0]"
43,CCCCCC(=O)OC,14.49654458713063,667.7178468498768,-230.67840411307037,22.942264497186645,4470.762419052052,-30.88302910060041,22.94226709,4470.763689,-30.883,314,423,"[314.0, 326.1111, 338.22223, 350.33334, 362.44446, 374.55554, 386.66666, 398.77777, 410.8889, 423.0]"
44,CCCC,14.526596616567229,432.0031759962224,-143.43385364422653,20.56820908990639,2154.6966731733755,-34.36101391219698,20.56820976,2154.69696,-34.361,196,298,"[196.0, 207.33333, 218.66667, 230.0, 241.33333, 252.66667, 264.0, 275.33334, 286.66666, 298.0]"
45,C=CC=O,11.31667023089696,128.3332333824365,-185.23182317271835,21.223133150160123,2774.405265391494,-39.63900408027566,21.22313403,2774.405502,-39.639,208,326,"[208.0, 221.11111, 234.22223, 247.33333, 260.44446, 273.55554, 286.66666, 299.77777, 312.8889, 326.0]"
46,C=CC#N,12.065475470990592,117.9157315030216,-247.24108823005977,18.230668735449832,1626.7154931504724,-109.39205662096956,18.23067142,1626.716501,-109.392,283,353,"[283.0, 290.77777, 298.55554, 306.33334, 314.1111, 321.8889, 329.66666, 337.44446, 345.22223, 353.0]"
47,C=CCO,6.220443355263434,196.05127489574437,-414.80130133220655,23.086689931533638,3616.7257706242576,-57.328916441086676,23.08668523,3616.723365,-57.329,301,375,"[301.0, 309.22223, 317.44446, 325.66666, 333.8889, 342.1111, 350.33334, 358.55554, 366.77777, 375.0]"
48,CC(=C)CC(C)(C)C,16.927200477956074,1178.7700618030099,-156.30115258708676,20.629941857535567,2932.1577656855156,-52.53500821414073,20.62994206,2932.157909,-52.535,277,400,"[277.0, 290.66666, 304.33334, 318.0, 331.66666, 345.33334, 359.0, 372.66666, 386.33334, 400.0]"
49,CC(=CC(C)(C)C)C,20.355144434897305,2820.6505852567143,-68.95328352296387,20.68669809296946,2930.5447784278326,-58.155052410603,20.68670079,2930.5461,-58.155,282,404,"[282.0, 295.55554, 309.1111, 322.66666, 336.22223, 349.77777, 363.33334, 376.8889, 390.44446, 404.0]"
50,CC(=O)CC(C)(C)OC,12.888933865236087,163.86569575666488,-306.4838651815029,20.93685630797746,3376.007673736828,-75.05796994993486,20.93685363,3376.006514,-75.058,343,423,"[343.0, 351.8889, 360.77777, 369.66666, 378.55554, 387.44446, 396.33334, 405.22223, 414.1111, 423.0]"
51,CC(COC)O,13.724478860591057,303.1336015367561,-275.65774439037995,23.03115396558892,4112.549933992615,-35.32886539260732,23.03114688,4112.545921,-35.329,331,389,"[331.0, 337.44446, 343.8889, 350.33334, 356.77777, 363.22223, 369.66666, 376.1111, 382.55554, 389.0]"
52,CC1=CC(=CC=C1)O,15.79280327728813,1048.1327212209587,-258.42042619626153,21.219010017448138,3584.7322075188235,-105.55004974854046,21.21901241,3584.73355,-105.55,363,503,"[363.0, 378.55554, 394.1111, 409.66666, 425.22223, 440.77777, 456.33334, 471.8889, 487.44446, 503.0]"
53,CCOC(=O)CC(C)C,20.070935436640294,2853.1161460148846,-80.65466188739086,22.11796241261284,3874.0107126235557,-42.14104026533521,22.11796465,3874.011921,-42.141,267,418,"[267.0, 283.77777, 300.55554, 317.33334, 334.1111, 350.8889, 367.66666, 384.44446, 401.22223, 418.0]"
54,CC1=CC(=CC(=C1)O)C,16.87611083095944,1156.6767877914572,-254.29524459020044,21.32720848373672,3788.372754895619,-108.32905283849554,21.32721088,3788.374176,-108.329,384,524,"[384.0, 399.55554, 415.1111, 430.66666, 446.22223, 461.77777, 477.33334, 492.8889, 508.44446, 524.0]"
55,CC1=CC=CC=C1,12.80700773127971,396.93197593678167,-237.75938029083338,20.839382969225262,3056.956843150399,-55.52504915253166,20.8393852,3056.958021,-55.525,286,410,"[286.0, 299.77777, 313.55554, 327.33334, 341.1111, 354.8889, 368.66666, 382.44446, 396.22223, 410.0]"
56,CC1=CC=NC=C1,13.396857749609824,76.38921504039817,-333.9951197966469,21.10775434057765,3410.6390734324664,-62.53693002521957,21.1077515,3410.637394,-62.537,348,460,"[348.0, 360.44446, 372.8889, 385.33334, 397.77777, 410.22223, 422.66666, 435.1111, 447.55554, 460.0]"
57,CCCCC(=O)O,8.710128117941155,-29.392801109357464,-433.7799576979347,22.163302798708436,3811.202209197985,-100.9999896267643,22.16330255,3811.202005,-101.0,372,465,"[372.0, 382.33334, 392.66666, 403.0, 413.33334, 423.66666, 434.0, 444.33334, 454.66666, 465.0]"
58,C(CN)CN,9.172935842638505,-0.5651853284030686,-362.0015615873045,21.356906519637768,3235.492179181777,-83.26569389290172,21.3568912,3235.484351,-83.266,353,373,"[353.0, 355.22223, 357.44446, 359.66666, 361.8889, 364.1111, 366.33334, 368.55554, 370.77777, 373.0]"
59,COCCO,12.527374565156077,159.52803041545445,-300.10945889643506,23.20268325911839,4289.525907073072,-29.918119149432986,23.20268947,4289.529519,-29.918,329,397,"[329.0, 336.55554, 344.1111, 351.66666, 359.22223, 366.77777, 374.33334, 381.8889, 389.44446, 397.0]"
60,C=COC=C,15.139347425469564,619.5977175817117,-167.0118397091591,20.937149139757068,2400.823200754077,-46.40207564739243,20.93715297,2400.824886,-46.402,253,323,"[253.0, 260.77777, 268.55554, 276.33334, 284.1111, 291.8889, 299.66666, 307.44446, 315.22223, 323.0]"
61,CCCCCCCCCC(=O)OC,12.642153029066057,360.7734015874439,-318.3760562029277,22.521907172579613,4864.9455443863035,-61.78299957444698,22.52190716,4864.945534,-61.783,380,461,"[380.0, 389.0, 398.0, 407.0, 416.0, 425.0, 434.0, 443.0, 452.0, 461.0]"
62,C1=CC=NC=C1,14.960503004519946,323.23286407140137,-282.56069369157865,21.171993855969706,3527.0562837138204,-62.61598993997703,21.17199362,3527.056096,-62.616,327,429,"[327.0, 338.33334, 349.66666, 361.0, 372.33334, 383.66666, 395.0, 406.33334, 417.66666, 429.0]"
63,CCCCCCC(=O)C,15.447017105367047,906.7688255329875,-222.04972801458962,21.622888819812413,3722.1074994393766,-77.04993612099025,21.62288583,3722.105777,-77.05,342,472,"[342.0, 356.44446, 370.8889, 385.33334, 399.77777, 414.22223, 428.66666, 443.1111, 457.55554, 472.0]"
64,CCCCCCO,13.217970027957838,321.5727009376893,-282.9393142715992,21.14920066557255,2983.207154341228,-120.63997886955555,21.14919803,2983.206221,-120.64,340,420,"[340.0, 348.8889, 357.77777, 366.66666, 375.55554, 384.44446, 393.33334, 402.22223, 411.1111, 420.0]"
65,C(CNCCN)N,12.461575227290565,64.48282063884307,-343.9402734403359,25.628743877655058,6616.131023316329,5.1100621265339136e-05,25.62873917,6616.128272,0.0,371,442,"[371.0, 378.8889, 386.77777, 394.66666, 402.55554, 410.44446, 418.33334, 426.22223, 434.1111, 442.0]"
66,CCCOCCC,13.484919642704867,312.04620468697715,-228.79073040608142,20.804797586912688,2846.274647029157,-56.45806389084468,20.80480038,2846.27609,-56.458,292,389,"[292.0, 302.77777, 313.55554, 324.33334, 335.1111, 345.8889, 356.66666, 367.44446, 378.22223, 389.0]"
67,CC(=O)OCCOC(=O)C,18.46972039096414,1978.7366880008087,-168.97739020475422,23.38358054906678,5025.769588204561,-39.646000031331326,23.38358055,5025.769589,-39.646,311,464,"[311.0, 328.0, 345.0, 362.0, 379.0, 396.0, 413.0, 430.0, 447.0, 464.0]"
68,CCCCCCC=O,13.13731763325796,342.4263747794317,-261.5266222893737,21.0605972858234,3373.2886599077583,-72.14994193829116,21.06059455,3373.287161,-72.15,323,453,"[323.0, 337.44446, 351.8889, 366.33334, 380.77777, 395.22223, 409.66666, 424.1111, 438.55554, 453.0]"
69,COCCOCCO,13.2015455072038,405.6221076223655,-279.3733699800763,20.89324286224342,3321.757757401875,-112.49599190268944,20.89324267,3321.757609,-112.496,355,466,"[355.0, 367.33334, 379.66666, 392.0, 404.33334, 416.66666, 429.0, 441.33334, 453.66666, 466.0]"
70,CCCCCCCCOC(=O)C,7.920699717017906,-36.27156261584874,-367.8533080462984,24.86281326813749,6252.213326259156,-10.257893619921939,24.86280727,6252.209303,-10.258,334,417,"[334.0, 343.22223, 352.44446, 361.66666, 370.8889, 380.1111, 389.33334, 398.55554, 407.77777, 417.0]"
71,CCCCOCCOCCO,17.25889780261359,2271.545047418145,-142.8552781431035,19.996916756174517,3101.990235048964,-138.08498630513682,19.99691537,3101.989678,-138.085,343,504,"[343.0, 360.8889, 378.77777, 396.66666, 414.55554, 432.44446, 450.33334, 468.22223, 486.1111, 504.0]"
72,CCCCCCCCCCCO,6.522819381723224,100.21245216442564,-274.82658801979585,23.242281658559918,4846.960029870314,-97.0100862220066,23.24229393,4846.964647,-97.01,293,343,"[293.0, 298.55554, 304.1111, 309.66666, 315.22223, 320.77777, 326.33334, 331.8889, 337.44446, 343.0]"
73,CCCCCCCCCCC=O,4.78611038758323,2.0419950583117323,-294.4492695371051,26.039543383615868,7021.804623046658,-4.740999959087282,26.03954338,7021.804621,-4.741,288,333,"[288.0, 293.0, 298.0, 303.0, 308.0, 313.0, 318.0, 323.0, 328.0, 333.0]"
74,CCCCCCCCCCCCO,14.352812729497204,833.711434557857,-275.3380163752399,23.664726189264325,6168.567899382159,-22.184000020426147,23.66472619,6168.5679,-22.184,350,530,"[350.0, 370.0, 390.0, 410.0, 430.0, 450.0, 470.0, 490.0, 510.0, 530.0]"
75,CC(=C)OC,10.199568488671957,12.07344409837986,-274.79378076201044,20.481088544392538,2287.5737395297415,-53.400818241835815,20.48107994,2287.569936,-53.401,281,310,"[281.0, 284.22223, 287.44446, 290.66666, 293.8889, 297.1111, 300.33334, 303.55554, 306.77777, 310.0]"
76,CCC(C)C(=O)O,7.757086282523151,41.456226737376504,-448.14275713961615,22.686453196696593,4080.4129656385435,-83.14993305628053,22.68644989,4080.411043,-83.15,353,454,"[353.0, 364.22223, 375.44446, 386.66666, 397.8889, 409.1111, 420.33334, 431.55554, 442.77777, 454.0]"
77,CCOC(=O)C1=CC=CC=C1O,18.797434219260282,3023.275585217611,-123.31530763217327,22.98634043473049,5332.389766512376,-39.594977459834574,22.98633857,5332.388728,-39.595,334,504,"[334.0, 352.8889, 371.77777, 390.66666, 409.55554, 428.44446, 447.33334, 466.22223, 485.1111, 504.0]"
78,COC(=O)C1=CC=CC=C1O,18.682305144003998,3086.09236008276,-109.19271473456948,21.24509886018764,4032.495459715075,-81.03203821811329,21.2451007,4032.49655,-81.032,327,496,"[327.0, 345.77777, 364.55554, 383.33334, 402.1111, 420.8889, 439.66666, 458.44446, 477.22223, 496.0]"
79,C1CCC(=O)C1,13.242205191111712,283.1888308118865,-257.91946692306146,21.253922406488666,3390.5324230340543,-55.12496894516917,21.2539196,3390.531221,-55.125,317,397,"[317.0, 325.8889, 334.77777, 343.66666, 352.55554, 361.44446, 370.33334, 379.22223, 388.1111, 397.0]"
80,CC(C)(C)C1=C(C=CC(=C1)OC)O,9.886120418949197,34.80362197073688,-397.0557962195839,23.113118253749473,6547.400027862056,-2.6698091513094433e-05,23.1131189,6547.400712,0.0,403,463,"[403.0, 409.66666, 416.33334, 423.0, 429.66666, 436.33334, 443.0, 449.66666, 456.33334, 463.0]"
81,CC(C)C1=CC=C(C=C1)C=O,19.006764495613158,2925.249820611369,-116.72673064148647,23.136812675072832,5557.602438473088,-26.463993052804284,23.13681251,5557.602274,-26.464,331,505,"[331.0, 350.33334, 369.66666, 389.0, 408.33334, 427.66666, 447.0, 466.33334, 485.66666, 505.0]"
82,CCC1=CC=C(C=C1)O,10.104708476544292,3.751675278515208,-494.5806688234732,21.04383201946165,3569.7117645007675,-116.08598240946085,21.04383173,3569.711485,-116.086,445,502,"[445.0, 451.33334, 457.66666, 464.0, 470.33334, 476.66666, 483.0, 489.33334, 495.66666, 502.0]"
83,C1=CC(=CC=C1C=O)O,17.249386334416727,1389.5143456323601,-244.41456261502228,23.78650993782472,6587.613073574412,-45.581999496155554,23.78650992,6587.613058,-45.582,394,583,"[394.0, 415.0, 436.0, 457.0, 478.0, 499.0, 520.0, 541.0, 562.0, 583.0]"
84,COC1=CC=C(C=C1)C=O,14.516589195890965,707.1899138488321,-265.5093482794236,22.85670566496265,5403.694656495313,-45.11694749114126,22.85670303,5403.692881,-45.117,347,522,"[347.0, 366.44446, 385.8889, 405.33334, 424.77777, 444.22223, 463.66666, 483.1111, 502.55554, 522.0]"
85,CNC=O,15.651384144120392,1096.181038430221,-235.14197224426172,22.15614524115501,4258.40312073602,-72.06092323433653,22.15614151,4258.400871,-72.061,369,472,"[369.0, 380.44446, 391.8889, 403.33334, 414.77777, 426.22223, 437.66666, 449.1111, 460.55554, 472.0]"
86,CCCCCC(=O)O,14.663919642082364,380.7752982042347,-353.5867756621544,24.289322651719235,6626.687454642514,-91.1631005815299,24.28932542,6626.69023,-91.163,432,611,"[432.0, 451.8889, 471.77777, 491.66666, 511.55554, 531.44446, 551.3333, 571.2222, 591.1111, 611.0]"
87,C(=O)=O,8.510800673917522,28.44603272181476,-213.37652039645906,21.787334310580697,1722.977392824958,-16.900064466169884,21.78733646,1722.978373,-16.9,216,273,"[216.0, 222.33333, 228.66667, 235.0, 241.33333, 247.66667, 254.0, 260.33334, 266.66666, 273.0]"
88,CCCCOC(=O)C1=CC=CC=C1,14.262939768308074,748.4516592164881,-283.5527360184563,19.658115656879392,3103.1676451391945,-142.91994661759824,19.658113,3103.166299,-142.92,374,475,"[374.0, 385.22223, 396.44446, 407.66666, 418.8889, 430.1111, 441.33334, 452.55554, 463.77777, 475.0]"
89,CCOC(=O)C=C,16.760730403825185,1409.1637953625916,-120.24750351519943,22.81755891726523,3943.957423039803,-23.216005661985466,22.81755908,3943.957548,-23.216,243,393,"[243.0, 259.66666, 276.33334, 293.0, 309.66666, 326.33334, 343.0, 359.66666, 376.33334, 393.0]"
90,CCC1=CC(=CC=C1)CC,16.515954790797146,1386.3430342323663,-184.89861530229672,21.04751389191749,3646.2574020648294,-71.29005006711864,21.04751587,3646.258624,-71.29,342,484,"[342.0, 357.77777, 373.55554, 389.33334, 405.1111, 420.8889, 436.66666, 452.44446, 468.22223, 484.0]"
91,CCCCCCC,14.250671998585078,517.182395910411,-201.25248709378508,20.76984694777676,2910.260196793071,-56.718007280732785,20.76984713,2910.260325,-56.718,274,388,"[274.0, 286.66666, 299.33334, 312.0, 324.66666, 337.33334, 350.0, 362.66666, 375.33334, 388.0]"
92,C1CN1,11.897394313592782,352.69293415524845,-176.30345632658901,22.402680838249804,3133.7360940330022,-40.197976923367,22.4026793,3133.735419,-40.198,213,318,"[213.0, 224.66667, 236.33333, 248.0, 259.66666, 271.33334, 283.0, 294.66666, 306.33334, 318.0]"
93,C1=COC=N1,12.617717168166626,15.034015259684956,-287.52575834159336,21.45023745611462,2897.0730630787116,-50.77101946736075,21.450238,2897.07342,-50.771,293,344,"[293.0, 298.66666, 304.33334, 310.0, 315.66666, 321.33334, 327.0, 332.66666, 338.33334, 344.0]"
