,SMIELS,Atom2,Func. Group,Actual,Predict
11042,CC1(C2C3C4CC(C3C1N=N2)C=C4)C,CHN,alkene,593.07,577.41034
838,CC#CCO,CHO,alkyne,421.15,399.79602
9079,CCCC(=O)OC1=C(CCC1=O)C,CHO,ester,583.51,579.9908
780,COCC1CCCO1,CHO,ester,413.15,403.51923
1353,CCOC(=O)CC1CCCCC1,CHO,ester,484.15,481.47754
8764,CCOC(=O)C=C1CCCCC1,CHO,ester,517.48,498.40463
3817,C1COC(OC1)CO,CHO,ester,479.63,462.00156
5980,CC(C)CC(C)(C)OC,CHO,ester,401.39,410.0906
1389,CC1=CC=CC=C1C(=O)OC,CHO,ester,488.15,496.11545
2032,C1CCOCC1,CHO,ester,361.15,370.6264
2110,C(C#N)C(=O)O,CHON,alcohol,381.15,470.00977
4715,C1=CN(C=N1)CCCN,CHN,aromatic,552.65,517.688
9265,CC1=CC=C(C=C1)CCOC(=O)C,CHO,ester,387.9,466.8466
4870,CCCC1=NC=CN=C1,CHN,aromatic,364.15,407.99057
636,CCCC(C)O,CHO,alcohol,392.45,407.94714
1668,C1=CC=C(C=C1)/C=C/C=O,CHO,alkene,519.15,490.70554
10201,CCC(CC(C)(C)C)C(C)(C)C,CH,alkane,453.15,467.40982
5559,CC1C(=O)CCCC1=O,CHO,ketone,514.95,472.52875
9700,CCCCCC/C=C/C=C/C=O,CHO,alkene,508.26,511.05307
5259,CCN(CC)C(=O)OCC,CHON,ester,441.15,431.13617
2887,CC1=CC(=O)NC=C1,CHON,aromatic,581.15,552.69324
4323,CN1CCCC1CN,CHN,amine,425.65,413.17072
10350,CCC(C)CC(C)(C)C(C)CC,CH,alkane,468.15,470.0023
9335,CCC(C)C(C)(C)CC(C)C,CH,alkane,447.15,449.4876
4760,C(CN(CCN)CCO)N,CHON,alcohol,586.56,543.22235
1704,CCCC(=O)OCCOC1=CC=CC=C1,CHO,ester,524.15,493.8572
898,CC1=CC(=O)CC1,CHO,alkene,430.65,424.00192
9327,CCC(C)(C)CC(C)C(C)C,CH,alkane,445.15,449.4876
5745,CCCCC(C(CO)O)O,CHO,alcohol,635.42,608.6263
4113,CCCOCCOC,CHO,ester,381.72,399.62512
5054,CC(=C)CC(C)(C)O,CHO,alkene,405.15,422.61472
7999,CC(C)(C)OC(=O)NC(C)(C)C(=O)O,CHON,carboxylic_acid,652.96,640.42926
4295,CC(COC(=O)C)OC,CHO,ester,417.08,431.72794
1150,C=CCCC(=O)O,CHO,alkene,461.65,456.6622
1269,CCOC(=O)C(C(C)C)C(=O)C,CHO,ester,474.15,508.05237
8656,CC1=CCC(CC1)(C)C(=O)C,CHO,alkene,506.2,492.11697
2954,CCN(C)CC,CHN,amine,339.15,339.91177
1052,CC(C)CCC(C(C)C)O,CHO,alcohol,448.15,469.98157
1032,CC(C)CCCC(C)(C)O,CHO,alcohol,446.15,469.98157
2698,CC1=C(C=CC(=C1)OC)N,CHON,ester,521.65,498.3102
3349,C=CCNC(=O)N,CHON,alkene,464.37,499.34546
555,C1CCCCCC(=O)CCCC1,CHO,ketone,379.15,466.4374
896,CC1=CCCC1=O,CHO,alkene,430.15,417.9916
9301,C#CCCCCCCCC#C,CH,alkyne,431.52,461.0974
9940,CC(C)(CO)C(C1=CC=CC=C1)O,CHO,aromatic,559.65,510.61514
5492,COCCCOCCCO,CHO,ester,496.78,490.04828
973,CC(C)OC(=O)C(C)O,CHO,ester,440.15,473.54773
5135,CCOC(=O)C1CC1C,CHO,ester,420.05,423.87244
2528,CCN(CC)C(=O)N(CC)CC,CHON,amide,482.15,510.67685
9404,CCCC(C)C(C)(C)CCC,CH,alkane,453.15,447.1933
10825,CCCCC(=O)C1=CC=C(C=C1)C,CHO,aromatic,534.15,496.15814
42,CC12CCCC1C2,CH,alkane,366.25,383.76242
4521,C=CCN1CCNC1=O,CHON,amide,478.05,482.5664
4804,C1CC(C1C(=O)O)C(=O)O,CHO,alcohol,634.24,618.3271
3576,CN(C)CC(=O)OC,CHON,ester,384.66,400.07294
9933,COC(=O)CCCCCCCCC=O,CHO,ester,558.16,565.6028
5185,C1C(O1)CCCC2CO2,CHO,ester,427.14,429.32156
9134,C1COC(C(O1)OCC2CO2)OCC3CO3,CHO,ester,609.4,563.45776
1318,CC/C=C/CC(=O)O,CHO,alkene,481.15,479.94522
8703,CC(C)CCCC(C)(C=C)O,CHO,alkene,513.59,504.04828
6961,C1COCCN1/C=C(\C#N)/C(=O)N,CHON,ester,674.5,595.40497
10430,CCCC(C)CCC(C)C(C)C,CH,alkane,471.15,469.40555
2061,C1CC2CC1CC2CO,CHO,alcohol,367.15,471.32385
10627,CC=C1CC2CCC1(C2(C)C)C,CH,alkene,494.36,475.01218
1702,CCCCCC1=CC=C(C=C1)O,CHO,aromatic,523.65,492.77048
716,COCC1=CC=CO1,CHO,ester,405.15,419.3215
10312,CCCC(C)C(CCC)C(C)C,CH,alkane,467.15,466.90686
10199,C1=CC=C(C=C1)OC2=CC=C(C=C2)O,CHO,ester,451.65,521.0678
4287,COCCC(=O)NCCO,CHON,ester,415.65,486.84973
9590,CC1=CC(=C(C=C1)OC)C(C)C,CHO,ester,486.65,478.44998
5284,CCCCOCCCN,CHON,ester,446.15,444.6983
10358,CC(C)CC(C)C(C)(C)C(C)C,CH,alkane,468.15,468.7326
8936,CCCN(CCC)CCCC#N,CHN,amine,542.92,556.39105
8895,C1C2CC3CC1CC(C2)C3O,CHO,alcohol,535.73,526.03687
2093,CC(=C)C(=O)NCO,CHON,alkene,373.15,453.6165
7089,C1CCC2C(C1)CCC(=O)O2,CHO,ester,418.15,472.61194
10056,C1CCC(CC1)(C2CCOCC2)O,CHO,ester,609.75,597.8754
4316,C1CCCOOCC1,CHO,ester,423.54,412.1565
8913,C1CCC(CC1)CCCCO,CHO,alcohol,540.13,531.4582
8962,CC(=C1CCC2(C(C1=O)O2)C)C,CHO,ester,547.68,531.5376
1419,CCC1=CC=C(C=C1)O,CHO,aromatic,491.05,485.86356
10316,CCC(C)CC(C)CCC(C)C,CH,alkane,467.15,468.7326
6047,CCCC(=O)OC(C)(C)C,CHO,ester,409.4,432.47757
3766,C1CCOC(C1)ON,CHON,ester,455.45,449.19568
6368,CCC(CC)C(=O)N1CC1,CHON,amide,455.65,467.62076
2484,CC1=CC(=NC(=C1C)C)C,CHN,aromatic,476.15,467.64038
1725,COC1=CC=C(C=C1)CC=O,CHO,ester,528.65,483.31494
6295,CC(C)NCCCN(C)C,CHN,amine,444.81,434.53128
9695,CCC(=CCCC(=CC=O)C)C,CHO,alkene,508.02,501.91605
2185,COC1=CC=CC=C1N2CCNCC2,CHON,ester,404.65,473.3799
8133,CCCCCC(=C(C)C)C,CH,alkene,431.75,449.12576
7231,CC1=C(C(=CC=C1)C)C,CH,aromatic,443.55,485.15918
9506,CC1=C(C2=CC=CC=C2N1)CCN,CHN,aromatic,471.15,478.22302
6061,CN1CCC2CC1C=C2,CHN,alkene,411.99,416.57913
5860,C/C=C(\C)/C(C)(C)C,CH,alkene,385.15,391.916
5335,CCN1CCC(=O)CC1,CHON,ketone,459.97,427.6869
8596,CC(C)C1CCC(=CC1)C=O,CHO,alkene,496.15,482.27545
8138,CCCCC/C=C\CCC,CH,alkene,432.56,438.82162
11030,CCCCCCCCCCOCCO,CHO,ester,588.76,599.72424
3289,C1CCON(C1)N=O,CHON,ester,413.86,421.54
159,C=CCCCCCCC=C,CH,alkene,440.15,436.42615
8621,CC1=CCC(CC1)C(C)C=O,CHO,alkene,500.31,482.27545
4936,C1C=CC12CC=C2,CH,alkene,380.74,390.14722
235,C1CCC1,CH,alkane,285.75,330.02432
11009,COC(=O)C12C3C4C1C5C2C3C45C(=O)OC,CHO,ester,580.88,577.3032
4472,CC(CCCN)CN,CHN,amine,466.15,442.20685
6583,CC(=O)OCC1CCCCO1,CHO,ester,487.36,465.63712
3853,CN(C)C=NCC#N,CHN,amine,505.2,463.82608
1789,COC1=C(C=CC(=C1)CC=C)OC=O,CHO,ester,543.15,520.16974
4014,CC(=CN(C)C)C,CHN,alkene,353.36,365.77542
4986,CCC(OC=C)OC=C,CHO,ester,390.15,386.78378
6275,CCN(CC)CCC(C)N,CHN,amine,443.15,430.94095
8651,CCC(CC)C(=O)OOC(C)(C)C,CHO,ester,505.37,497.18008
613,CC1CCOC(O1)C,CHO,ester,389.65,398.45648
5867,CCCC(C)/C=C/C,CH,alkene,387.1,391.31924
9999,CCOC(=O)CCN(C)CCC(=O)OCC,CHON,ester,580.16,575.75806
3504,C/C=C/OC=C,CHO,ester,337.26,344.93744
6884,CN(C=C1C=CC(=O)C=C1)O,CHON,alkene,584.26,582.1946
2038,CCC(C)COC,CHO,ester,363.15,368.71133
7726,COC1=CC=CC=C1CC=O,CHO,ester,518.15,483.31494
10256,CCCCC(C(C)C)C(C)(C)C,CH,alkane,463.15,469.40555
9822,CCC1CCC2(CC1)CCC(=O)O2,CHO,ester,531.76,511.45312
2705,C1=CC=C(C=C1)C(=O)CN,CHON,ketone,524.15,495.83167
5145,CC=C(C)CC(=O)OC,CHO,ester,422.02,434.02356
6376,CC1=CC(=O)OC(C1)(C)C,CHO,ester,456.25,439.91092
10395,CCC(C)(C)CCCCC(C)C,CH,alkane,470.15,469.9785
10518,CCC(C)C(C)C(C)(CC)CC,CH,alkane,475.15,470.0023
8847,CC(C)C12CCC(C1C2)(C)O,CHO,alcohol,529.43,497.16144
7189,CC1(CC(=O)C(C1)(C)C)C,CHO,ketone,436.65,473.1691
4558,CC(C)NCCC#N,CHN,amine,488.69,483.15283
3286,CCC(CN)N,CHN,amine,413.15,406.18964
3284,CNCCCN,CHN,amine,411.65,410.63034
901,CCCCCCO,CHO,alcohol,430.75,436.37073
1104,CCCC(=O)C(=O)OCC,CHO,ester,455.65,473.2636
1511,CCCOC1=CC=CC=C1O,CHO,ester,500.15,477.67584
529,CC(C)OC1=CC=CC=C1O,CHO,ester,374.15,461.60046
10840,CCCCCC/C=C\CCOC(=O)C,CHO,ester,536.54,517.3399
8843,CCCCC/C=C/C=C/CO,CHO,alkene,528.9,524.4294
10342,CCCCC(C)C(C)C(C)(C)C,CH,alkane,468.15,469.40555
4251,CC1OCC=CCO1,CHO,ester,408.15,404.78262
5312,CCOC(=O)C(C)OC(=O)C,CHO,ester,455.15,463.97693
6767,COC1(CCCCC1O)OC,CHO,ester,534.78,520.1428
4948,CCC(CC)OCC,CHO,ester,381.74,387.8757
3393,C1CNC(=O)N(C1)N=O,CHON,amide,503.28,471.01395
5017,CCCCC(OC)OC,CHO,ester,397.65,420.20215
10837,CCCCCC(=O)OC/C=C/CCC,CHO,ester,536.54,514.84125
1033,CC(C)C12CCC(O1)(CC2)C,CHO,ester,446.65,457.77792
6362,CCCCC(C(C)C)N,CHN,amine,454.29,428.50003
2449,CCCN(CCC)CCO,CHON,alcohol,469.15,473.37155
2131,CCOC(=O)C#N,CHON,ester,388.65,444.74945
1803,COC1=CC2=CC=CC=C2C=C1,CHO,ester,547.15,549.2464
10734,CCC(CC)(C#N)C1=CC=CC=C1,CHN,aromatic,521.15,507.09
7425,CN(C)CCN(C)CCN(C)C,CHN,amine,471.15,452.02902
6442,C=C1C2CCC(C2)C1=O,CHO,alkene,467.37,455.48257
3648,CC(C)NCCN,CHN,amine,409.65,410.81458
8826,CC1CC(N=C(O1)C(=C)C)(C)C,CHON,ester,524.87,492.48135
5613,CC(C)(CCCO)CO,CHO,alcohol,540.89,525.4279
7612,CC1=CCCC(C1=O)(C)C,CHO,alkene,497.27,470.7251
7474,CCC(C1=CC=CC=C1)N,CHN,aromatic,479.15,490.41696
11050,CCCCCCCCCOCCC#N,CHON,ester,598.66,591.4368
1866,C1C2=CC=CC=C2C(=O)O1,CHO,ester,563.15,499.22556
1151,C1COC2=CC=CC=C21,CHO,ester,461.65,480.64673
9227,CC1(CC(CC(N1)(C)C)(C#N)O)C,CHON,alcohol,682.14,639.71405
3055,C(C(=O)N)O,CHON,alcohol,463.94,452.76376
3746,CN1CCN(CC1)N,CHN,amine,446.65,450.29663
4031,CC(C)(C)NCC#N,CHN,amine,358.65,452.42657
4359,COCCCC(=O)OC,CHO,ester,436.15,436.0828
10169,C1CCC(=C2CCCCC2=O)CC1,CHO,alkene,408.15,500.85608
4487,CCN(C(C)OC(=O)C)N=O,CHON,ester,470.5,447.749
6750,CCCCCOCC(CO)O,CHO,ester,531.65,579.60583
10717,CC1=C(C(=CC=C1)C(C)(C)C)N=C=O,CHON,aromatic,515.15,484.19928
3645,CCOC(C)C#N,CHON,ester,409.15,427.19342
9344,COC(=O)CCCCCCCC(=O)OC,CHO,ester,448.15,555.53766
2053,CC1(OCCO1)C,CHO,ester,365.65,383.61862
3553,CC1(COC=N1)C,CHON,ester,372.65,400.3572
3501,CC(C)(C)NC,CHN,amine,332.15,362.764
6553,CCC/C=C/C=C/CO,CHO,alkene,483.14,468.29675
1384,CC(C)(CC1=CC=CC=C1)O,CHO,aromatic,488.15,477.50458
10049,CC1(CCCC(C(=O)C1=O)(C)C)C,CHO,ketone,606.55,576.70197
1002,CCC(C)CCC(C)O,CHO,alcohol,443.15,448.15012
7820,CC1C2=CC=CC=C2C(=O)O1,CHO,ester,546.15,505.93628
8496,CC1C2CC(C2(C)C)CC1=O,CHO,ketone,486.15,478.534
1161,CC(=O)OCCOC(=O)C,CHO,ester,463.15,452.53476
6070,C1=CC=CC#CC=C1,CH,alkene,413.34,411.31042
1546,CCCCOCCOCC(C)O,CHO,ester,503.15,518.93304
3537,CCOCCOC,CHO,ester,358.84,380.3315
680,CC(C)C(=O)C(C)C,CHO,ketone,398.55,410.22253
1933,C=CC=O,CHO,alkene,325.75,339.82355
4570,CC(=O)CCCC#N,CHON,ketone,492.83,487.59482
6164,C1C2CN3CC1CN(C2)C3,CHN,amine,428.14,419.49258
7081,C=C1C2CCC1C3C2C3,CH,alkene,415.96,414.10626
5981,CC1=CC=CC1(C)C,CH,alkene,401.46,393.126
10903,C1CCN2CCCCCN(CC1)CC2,CHN,amine,547.48,531.3625
9977,CC1(CC(CC(N1)(C)C)C(=O)OC)C,CHON,ester,568.74,565.1999
10728,CCCCCCCCCC(OC)OC,CHO,ester,518.56,515.1028
847,CCCOCCO,CHO,ester,422.95,428.26608
6624,CC(=O)OCC(C=C)OC(=O)C,CHO,ester,495.32,481.505
2380,CCC1=CC(=NC=C1)C,CHN,aromatic,452.15,459.80194
9792,CCCCC(CC)CCC(C)N,CHN,amine,522.93,492.798
5313,C/C=C/C(C(C)C)O,CHO,alkene,455.22,434.95676
10351,CCCC(C(C)C)C(CC)CC,CH,alkane,468.15,469.40555
7320,CC(C)CC(C)OC(=O)C=C,CHO,ester,459.54,452.20416
1068,C1=CC=C2C=C(C=CC2=C1)CO,CHO,aromatic,451.15,485.5044
6328,COC1=C(C=C(C=C1)N)OC,CHON,ester,448.15,484.0521
8265,C1=CC23C=CC2(C=C1)C=C3,CH,alkene,454.68,451.26804
5584,CC1CN(C(=O)O1)CC(C)O,CHON,ester,524.63,515.8293
10564,C1CCC(C1)CCC2CCCC2,CH,alkane,479.65,504.74762
4695,CCOC(=O)/C=C\C(=O)O,CHO,carboxylic_acid,544.77,508.66895
8209,C1=CC2C3C2C=CC1C=C3,CH,alkene,445.7,444.4704
8683,C#CCCCCCCCCO,CHO,alkyne,510.7,516.76624
32,CCC#CC(C)C,CH,alkyne,368.35,369.71927
1536,CCCCOC1=CC=C(C=C1)C,CHO,ester,502.65,487.60904
3889,C1=CC(=O)C(=O)C1=O,CHO,aromatic,536.57,507.6306
6428,CCCCC(=O)CC(=O)C,CHO,ketone,465.65,479.65814
4232,C1C(O1)CCC2CO2,CHO,ester,404.26,412.1565
9097,CCC1(CCC(CC1)CN)CN,CHN,amine,588.58,552.7437
1388,C1CCC(=O)OCC1,CHO,ester,488.15,420.7025
3606,CC=C(C)C#N,CHN,alkene,395.15,408.82922
5799,CCN(CC)CCCCO,CHON,alcohol,364.15,471.04437
1143,CCCCCC(=O)CCC,CHO,ketone,460.65,466.34848
927,CC1CC(CC1=O)(C)C,CHO,ketone,433.65,447.74448
280,C=C1CCCC1,CH,alkene,348.65,350.7748
9729,CCCCCOC(=O)OCCCCC,CHO,ester,512.15,526.4165
6204,C1=CN(C=C1)N2C=CC=C2,CHN,aromatic,435.52,448.7461
7144,CC(C)/C=C(\C)/OC(=C)C,CHO,ester,428.1,437.87842
4348,CCC(C)(C)NC=O,CHON,amide,432.48,461.04852
8737,CCC(C)C(CC(C)(C)C)O,CHO,alcohol,516.47,494.46796
8824,CCCC/C=C\CCCCO,CHO,alkene,524.74,524.4294
4533,CC1=CN(C(=O)N1C)C,CHON,aromatic,483.15,453.4958
4604,COC(CC#N)(OC)OC,CHON,ester,502.99,501.3745
9641,CC/C=C\CCCCC(OC)OC,CHO,ester,499.84,508.33145
808,CCCC(C)(CC)O,CHO,alcohol,416.15,427.83398
712,CCOC1=CC=CC(=C1)O,CHO,ester,404.15,483.79617
1543,CC1=C(C(=CC=C1)C(C)(C)C)O,CHO,aromatic,503.15,488.07022
1310,CC(CCO)O,CHO,alcohol,480.65,482.78702
6551,CNCCCCCCNC,CHN,amine,482.98,485.675
500,CCC/C=C\CC,CH,alkene,368.95,373.64267
9353,CCC(C)CC(CC)C(C)C,CH,alkane,449.15,449.4876
2394,CN(C)CC1=CC=CC=C1,CHN,aromatic,454.15,476.28134
6312,CC(C)CC(OC)(OC)OC,CHO,ester,446.23,458.6963
7575,CCCN=C(C)N(CC)CC,CHN,amine,494.52,484.53552
10361,CC(C)C(C)CCC(C)C(C)C,CH,alkane,469.15,470.0023
6652,C=CC1=CC=C(C=C1)O,CHO,alkene,502.0,457.47037
7613,CCC1=C(C(=CC=C1)O)C,CHO,aromatic,497.65,490.02762
332,CCC(CC)C=C,CH,alkene,357.25,358.36615
10519,CCCC(C)(C)C(C)C(C)(C)C,CH,alkane,475.15,469.40555
9608,CCCCCCCC(C)(OC)OC,CHO,ester,492.89,503.84958
6784,C1CC(OC1)OCCCCO,CHO,ester,539.47,516.61115
5962,C=C1C2CCC1CC2,CH,alkene,399.55,398.7935
3659,CCN1C=CC=N1,CHN,aromatic,412.15,422.38748
1550,CCCCOCCOCCO,CHO,ester,504.15,507.43738
9750,CC(C)(C)C1C(C1=O)C(C)(C)C,CHO,ketone,514.71,510.67685
6166,CCOC(=O)C(=C(C)C)C,CHO,ester,428.15,444.88116
7627,C1CC2CCCC(C1)C2=O,CHO,ketone,499.63,489.78442
5952,C/C=C/CC/C=C/C,CH,alkene,397.65,400.68713
4458,CC(C)C(=O)OCCO,CHO,ester,460.15,477.48004
1175,CC(C)OC(=O)C(=O)OC(C)C,CHO,ester,464.15,475.3879
7582,CC(C)COC(=O)C1=CC=CO1,CHO,ester,495.15,465.53903
10478,CCC(C(C)C)C(C)(CC)CC,CH,alkane,473.15,470.0023
3118,C(C(C=O)O)O,CHO,alcohol,423.15,519.99646
6000,C1CC23CCC2(C1)C3,CH,alkane,403.74,412.79608
4934,CCCC(CC)CO,CHO,alcohol,380.15,439.55548
6354,C=CC(=O)OC1CCCC1,CHO,ester,452.82,436.75845
4831,C1=CN=CC=C1C2=NNC(=O)O2,CHON,aromatic,340.65,415.6434
